title         = ASCII CSV version of Coal production data from the 2009 British Petroleum Statistical Review (worksheet 30)
file URL      = http://mazamascience.com/OilExport/BP_2009_coal_production_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"US","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",463.1,469.7,434.6,496.9,487.0,491.6,507.5,522.6,537.9,565.9,544.2,545.0,510.3,557.2,555.1,571.6,584.9,603.2,584.3,570.1,590.3,570.1,553.6,572.4,580.2,595.1,587.7,596.9
"CA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",22.3,23.6,24.2,31.7,33.7,32.1,31.6,36.6,38.9,37.9,39.7,35.1,37.5,39.4,40.8,41.6,43.0,40.8,39.2,37.1,37.6,34.9,32.2,34.7,35.6,34.5,36.9,36.0
"MX","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.7,2.0,2.6,2.8,2.9,3.1,3.5,3.1,3.3,3.4,3.1,2.9,3.1,4.2,4.1,4.6,4.5,4.8,4.9,5.4,5.3,5.3,4.6,4.7,5.2,5.5,6.0,5.5
"BP_TNA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",487.1,495.3,461.4,531.4,523.6,526.9,542.7,562.3,580.2,607.2,587.0,583.0,550.9,600.8,600.1,617.7,632.5,648.8,628.3,612.6,633.2,610.2,590.4,611.8,620.9,635.2,630.6,638.4
"BR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2.6,2.9,3.0,3.4,3.5,3.3,3.0,3.2,2.8,1.9,2.1,1.8,1.8,2.0,2.0,1.8,2.1,2.0,2.1,2.9,2.1,1.9,1.8,2.0,2.4,2.2,2.3,2.4
"CO","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2.6,2.9,3.3,4.3,5.8,7.0,9.5,10.3,12.9,13.3,13.8,15.3,14.1,14.7,16.7,19.5,21.0,21.9,21.3,24.9,28.5,25.7,32.5,34.9,38.4,42.6,45.4,47.8
"VE","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.5,1.6,1.8,1.8,2.9,3.2,3.2,3.1,3.9,4.7,4.8,5.8,5.6,5.9,5.1,5.9,5.3,5.4,5.9,4.7
"BP_OSCA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.1,1.0,1.0,1.2,1.2,1.4,1.4,1.7,1.7,1.7,1.7,1.3,1.1,1.0,0.9,0.9,0.9,0.8,0.5,0.4,0.5,0.4,0.5,0.2,0.3,0.6,0.5,0.6
"BP_TSCA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",6.3,6.8,7.4,9.0,10.5,11.7,14.0,16.0,19.0,18.5,19.3,20.2,19.9,21.0,22.8,25.3,27.9,29.5,28.7,33.9,36.8,33.9,39.9,43.0,46.3,50.9,54.0,55.5
"BG","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",5.0,5.5,5.5,5.5,5.3,6.0,6.3,5.8,5.8,5.4,4.8,5.1,4.9,4.8,5.2,5.2,4.9,5.0,4.2,4.4,4.4,4.4,4.6,4.5,4.1,4.2,4.7,4.8
